,index,0,1
27,27,Die Grünen - Die Grüne Alternative,"Österreichische Genossenschaft des landwirtschaftlichen Erwerbsgartenbauverbandes reg.Gen.m.b.H., Wien"
28,28,Opposition für ein solidarisches Europa-Europäische Linke,Energie Graz Ges.m.b.H & Co KG 
29,29,"Liste ""Dr. Martin-für Demokratie, Kontrolle, Gerechtigkeit""",
30,30,Sozialdemokratische Partei Österreichs,
31,31,Österreichische Volkspartei,
32,32,Freiheitliche Partei Österreichs,
33,33,Die Grünen - Die Grüne Alternative,
34,34,Opposition für ein solidarisches Europa-Europäische Linke,
35,35,"Liste ""Dr. Martin-für Demokratie, Kontrolle, Gerechtigkeit""",
36,36,Sozialdemokratische Partei Österreichs,
37,37,Österreichische Volkspartei,
38,38,Freiheitliche Partei Österreichs,
39,39,Die Grünen - Die Grüne Alternative,
40,40,Opposition für ein solidarisches Europa-Europäische Linke,
41,41,"Liste ""Dr. Martin-für Demokratie, Kontrolle, Gerechtigkeit""",
42,42,Sozialdemokratische Partei Österreichs,
43,43,Österreichische Volkspartei,
44,44,Freiheitliche Partei Österreichs,
45,45,Die Grünen - Die Grüne Alternative,
46,46,Opposition für ein solidarisches Europa-Europäische Linke,
47,47,"Liste ""Dr. Martin-für Demokratie, Kontrolle, Gerechtigkeit""",
48,48,Sozialdemokratische Partei Österreichs,
49,49,Österreichische Volkspartei,
50,50,Freiheitliche Partei Österreichs,
51,51,Die Grünen - Die Grüne Alternative,
52,52,Opposition für ein solidarisches Europa-Europäische Linke,
53,53,"Liste ""Dr. Martin-für Demokratie, Kontrolle, Gerechtigkeit""",
54,54,Sozialdemokratische Partei Österreichs,
55,55,Österreichische Volkspartei,
56,56,Freiheitliche Partei Österreichs,
57,57,Die Grünen - Die Grüne Alternative,
58,58,Opposition für ein solidarisches Europa-Europäische Linke,
59,59,"Liste ""Dr. Martin-für Demokratie, Kontrolle, Gerechtigkeit""",
60,60,Sozialdemokratische Partei Österreichs,
61,61,Österreichische Volkspartei,
62,62,Freiheitliche Partei Österreichs,
63,63,Die Grünen - Die Grüne Alternative,
64,64,Opposition für ein solidarisches Europa-Europäische Linke,
65,65,"Liste ""Dr. Martin-für Demokratie, Kontrolle, Gerechtigkeit""",
66,66,Sozialdemokratische Partei Österreichs,
67,67,Österreichische Volkspartei,
68,68,Freiheitliche Partei Österreichs,
69,69,Die Grünen - Die Grüne Alternative,
70,70,Opposition für ein solidarisches Europa-Europäische Linke,
71,71,"Liste ""Dr. Martin-für Demokratie, Kontrolle, Gerechtigkeit""",
72,72,Sozialdemokratische Partei Österreichs,
73,73,Österreichische Volkspartei,
74,74,Freiheitliche Partei Österreichs,
75,75,Die Grünen - Die Grüne Alternative,
76,76,Opposition für ein solidarisches Europa-Europäische Linke,
77,77,"Liste ""Dr. Martin-für Demokratie, Kontrolle, Gerechtigkeit""",
78,78,Sozialdemokratische Partei Österreichs,
79,79,Österreichische Volkspartei,
80,80,Freiheitliche Partei Österreichs,
81,81,Die Grünen - Die Grüne Alternative,
82,82,Opposition für ein solidarisches Europa-Europäische Linke,
83,83,"Liste ""Dr. Martin-für Demokratie, Kontrolle, Gerechtigkeit""",
84,84,Sozialdemokratische Partei Österreichs,
85,85,Österreichische Volkspartei,
86,86,Freiheitliche Partei Österreichs,
87,87,Die Grünen - Die Grüne Alternative,
88,88,Opposition für ein solidarisches Europa-Europäische Linke,
89,89,"Liste ""Dr. Martin-für Demokratie, Kontrolle, Gerechtigkeit""",
90,90,Sozialdemokratische Partei Österreichs,
91,91,Österreichische Volkspartei,
92,92,Freiheitliche Partei Österreichs,
93,93,Die Grünen - Die Grüne Alternative,
94,94,Opposition für ein solidarisches Europa-Europäische Linke,
95,95,"Liste ""Dr. Martin-für Demokratie, Kontrolle, Gerechtigkeit""",
96,96,Sozialdemokratische Partei Österreichs,
97,97,Österreichische Volkspartei,
98,98,Freiheitliche Partei Österreichs,
99,99,Die Grünen - Die Grüne Alternative,
100,100,Opposition für ein solidarisches Europa-Europäische Linke,
101,101,"Liste ""Dr. Martin-für Demokratie, Kontrolle, Gerechtigkeit""",
102,102,Sozialdemokratische Partei Österreichs,
103,103,Österreichische Volkspartei,
104,104,Freiheitliche Partei Österreichs,
105,105,Die Grünen - Die Grüne Alternative,
106,106,Opposition für ein solidarisches Europa-Europäische Linke,
107,107,"Liste ""Dr. Martin-für Demokratie, Kontrolle, Gerechtigkeit""",
108,108,Sozialdemokratische Partei Österreichs,
109,109,Österreichische Volkspartei,
110,110,Freiheitliche Partei Österreichs,
111,111,Die Grünen - Die Grüne Alternative,
112,112,Opposition für ein solidarisches Europa-Europäische Linke,
113,113,"Liste ""Dr. Martin-für Demokratie, Kontrolle, Gerechtigkeit""",
