,index,0,1
0,0,Sozialdemokratische Partei Österreichs,
1,1,Österreichische Volkspartei,
2,2,Freiheitliche Partei Österreichs,Bezeichnung
3,3,Die Grünen - Die Grüne Alternative,Holding Graz -Kommunale Dienstleistungen Ges.m.b.H. 
4,4,Opposition für ein solidarisches Europa-Europäische Linke,Gebäude-und Baumanagement Graz Ges.m.b.H.
5,5,"Liste ""Dr. Martin-für Demokratie, Kontrolle, Gerechtigkeit""",Messe Center Graz reg. Gen.m.b.H.
6,6,Sozialdemokratische Partei Österreichs,"IPGBG - Stille Beteiligung (EUR 2.906.913,--)"
7,7,Österreichische Volkspartei,Theaterholding Graz/Steiermark Ges.m.b.H (WJ 1.9.2011-31.8.2012)
8,8,Freiheitliche Partei Österreichs,Stadion Graz Liebenau Vermögensverwertungs- u. Verwaltungs Ges.m.b.H.
9,9,Die Grünen - Die Grüne Alternative,Kunsthaus Graz Ges.m.b.H
10,10,Opposition für ein solidarisches Europa-Europäische Linke,"Steiermärkische Landesdruckerei Ges.m.b.H., Graz"
11,11,"Liste ""Dr. Martin-für Demokratie, Kontrolle, Gerechtigkeit""",Graz Tourismus Gesellschaft m.b.H.
12,12,Sozialdemokratische Partei Österreichs,KIMUS Kindermuseum Ges.m.b.H
13,13,Österreichische Volkspartei,FH Standort Graz Ges.m.b.H
14,14,Freiheitliche Partei Österreichs,Stadtmuseum Graz Ges.m.b.H 
15,15,Die Grünen - Die Grüne Alternative,Grazer Energieagentur Ges.m.b.H.
16,16,Opposition für ein solidarisches Europa-Europäische Linke,Universalmuseum Joanneum Ges.m.b.H
17,17,"Liste ""Dr. Martin-für Demokratie, Kontrolle, Gerechtigkeit""",Graz 2003 - Kulturhauptstadt Europas Organisations GmbH
18,18,Sozialdemokratische Partei Österreichs,steirischer herbst festival GmbH
19,19,Österreichische Volkspartei,GPS Personalbereitstellung GmbH
20,20,Freiheitliche Partei Österreichs,Umwelttechnik-Netzbetriebs GmbH (Ecoworld Styria)
21,21,Die Grünen - Die Grüne Alternative,"Grazer Schleppbahn Ges.m.b.H., Graz"
22,22,Opposition für ein solidarisches Europa-Europäische Linke,Creative Industries Styria Ges.m.b.H.
23,23,"Liste ""Dr. Martin-für Demokratie, Kontrolle, Gerechtigkeit""",ITG Ges.m.b.H
24,24,Sozialdemokratische Partei Österreichs,HLH - Hallenverwaltung Ges.m.b.H
25,25,Österreichische Volkspartei,Energie Graz Ges.m.b.H 
26,26,Freiheitliche Partei Österreichs,Viehzuchtgenossenschaft St.Radegund reg.Gen.m.b.H.
