,index,0,1,2,3,4,5,6,7
67,67,       2786.64,       1553.07,       4339.71,       4074.88,        264.83,          0.00,       5246.93,          0.00
68,68,          0.00,       1842.94,       1842.94,       1842.94,          0.00,          0.00,          0.00,       1342.94
69,69,          0.00,     169727.96,     169727.96,     169727.96,          0.00,          0.00,          0.00,         27.96
70,70,          0.00,     101059.00,     101059.00,     101059.00,          0.00,          0.00,      18941.00,          0.00
71,71,          0.00,       5572.70,       5572.70,       5572.70,          0.00,          0.00,          0.00,       5372.70
72,72,          0.00,     172641.64,     172641.64,     108417.64,      64224.00,          0.00,          0.00,      64241.64
73,73,       1885.18,       7956.95,       9842.13,       9842.13,          0.00,          0.00,          0.00,        456.95
74,74,          0.00,       1608.95,       1608.95,       1443.69,        165.26,          0.00,          0.00,       1108.95
75,75,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,        500.00,          0.00
76,76,          0.00,      43994.35,      43994.35,      43994.35,          0.00,          0.00,      29005.65,          0.00
77,77,          0.00,       5756.25,       5756.25,       5756.25,          0.00,          0.00,      53243.75,          0.00
78,78,          0.00,     721312.08,     721312.08,     721312.08,          0.00,          0.00,          0.00,      71312.08
79,79,          0.00,    2308220.00,    2308220.00,    2308220.00,          0.00,          0.00,         80.00,          0.00
80,80,          0.00,    1919775.04,    1919775.04,    1919775.04,          0.00,          0.00,      30224.96,          0.00
81,81,          0.00,       1145.94,       1145.94,       1145.94,          0.00,      42200.00,      43554.06,          0.00
82,82,          0.00,       2993.97,       2993.97,       2993.97,          0.00,          0.00,          0.00,       2993.97
83,83,          0.00,      89096.44,      89096.44,      89096.44,          0.00,          0.00,          3.56,          0.00
84,84,          0.00,       2671.80,       2671.80,       2225.74,        446.06,          0.00,        528.20,          0.00
85,85,          0.00,        771.52,        771.52,        771.52,          0.00,          0.00,          0.00,        771.52
86,86,        109.66,          0.00,        109.66,        109.66,          0.00,          0.00,          0.00,          0.00
87,87,          0.00,         53.94,         53.94,         53.94,          0.00,          0.00,          0.00,         53.94
88,88,          0.00,          8.06,          8.06,          8.06,          0.00,          0.00,          0.00,          8.06
89,89,          0.00,        396.61,        396.61,        396.61,          0.00,          0.00,        603.39,          0.00
90,90,         31.88,       2890.07,       2921.95,       2584.33,        337.62,          0.00,          0.00,        990.07
91,91,          0.00,        205.34,        205.34,        205.34,          0.00,          0.00,        194.66,          0.00
92,92,          0.00,          1.17,          1.17,          1.17,          0.00,          0.00,          0.00,          1.17
93,93,          0.00,          5.70,          5.70,          5.70,          0.00,          0.00,          0.00,          5.70
94,94,          0.00,          0.00,          0.00,          0.00,          0.00,          0.00,        200.00,          0.00
95,95,          0.00,     443254.99,     443254.99,     443254.99,          0.00,          0.00,      84245.01,          0.00
96,96,          0.00,      51158.42,      51158.42,      51158.42,          0.00,          0.00,       2341.58,          0.00
97,97,          0.00,     120360.82,     120360.82,     120360.82,          0.00,          0.00,          0.00,        360.82
98,98,          0.00,         45.11,         45.11,         45.11,          0.00,          0.00,       3054.89,          0.00
99,99,          0.00,       4232.85,       4232.85,       4232.85,          0.00,          0.00,          0.00,       2232.85
