,index,0,1,2
0,0,"Allgemeine Sonderschule 2, Diesterwegschule (Khevenhüllerstraße 3)","Allgemeine Sonderschule 2, Diesterwegschule (Khevenhüllerstraße 3)","Allgemeine Sonderschule 2, Diesterwegschule (Khevenhüllerstraße 3)"
1,1,"Allgemeine Sonderschule 4, Karlhofschule (Teistlergutstraße 23)","Allgemeine Sonderschule 4, Karlhofschule (Teistlergutstraße 23)","Allgemeine Sonderschule 4, Karlhofschule (Teistlergutstraße 23)"
2,2,"Allgemeine Sonderschule 6, Neue Heimat (Flötzerweg 61a)","Allgemeine Sonderschule 6, Neue Heimat (Flötzerweg 61a)","Allgemeine Sonderschule 6, Neue Heimat (Flötzerweg 61a)"
3,3,Landeslehranstalt für Hör- und Sehbildung (Kapuzinerstraße 40),Landeslehranstalt für Hör- und Sehbildung (Kapuzinerstraße 40),Landeslehranstalt für Hör- und Sehbildung (Kapuzinerstraße 40)
4,4,Heilstättenschule (Willingerstraße 22),Heilstättenschule (Willingerstraße 22),Heilstättenschule (Willingerstraße 22)
