,index,0,1
0,0,"Hauptschule 3, Stelzhamerschule (Figulystraße 15) ","Hauptschule 3, Stelzhamerschule (Figulystraße 15) "
1,1,"Hauptschule 5, Otto-Glöckel-Schule (Dürrnbergerstraße 1-3) ","Hauptschule 5, Otto-Glöckel-Schule (Dürrnbergerstraße 1-3) "
2,2,"Hauptschule 10, Zeppelinschule (Zeppelinstraße 44) ","Hauptschule 10, Zeppelinschule (Zeppelinstraße 44) "
3,3,"Hauptschule 11, Diesterwegschule (Khevenhüllerstraße 3) ","Hauptschule 11, Diesterwegschule (Khevenhüllerstraße 3) "
4,4,"Hauptschule 12, Harbachschule (In der Aichwiesen 16) ","Hauptschule 12, Harbachschule (In der Aichwiesen 16) "
5,5,"Hauptschule 14, Spallerhofschule (Tungassingerstraße 23) ","Hauptschule 14, Spallerhofschule (Tungassingerstraße 23) "
6,6,"Hauptschule 15, Jahnschule (Jahnstraße 3-5) ","Hauptschule 15, Jahnschule (Jahnstraße 3-5) "
7,7,"Hauptschule 17, Dr.-Karl-Renner-Schule (Flötzerweg 88) ","Hauptschule 17, Dr.-Karl-Renner-Schule (Flötzerweg 88) "
8,8,"Hauptschule 18, Dr.-Karl-Renner-Schule (Flötzerweg 88) ","Hauptschule 18, Dr.-Karl-Renner-Schule (Flötzerweg 88) "
9,9,"Hauptschule 22, Dr.-Ernst-Koref-Schule (Ramsauerstraße 61) ","Hauptschule 22, Dr.-Ernst-Koref-Schule (Ramsauerstraße 61) "
10,10,"Hauptschule 23, Ebelsberg (Ebelsberger Schloßweg 26) ","Hauptschule 23, Ebelsberg (Ebelsberger Schloßweg 26) "
11,11,"Hauptschule 24, Auhofschule (Aubrunnerweg 43) ","Hauptschule 24, Auhofschule (Aubrunnerweg 43) "
12,12,"Hauptschule 26, F.-Hüttner-Schule (Wieningerstraße 15) ","Hauptschule 26, F.-Hüttner-Schule (Wieningerstraße 15) "
13,13,"Hauptschule 27, B.-v.-Suttner-Schule (Dornacher Straße 35) ","Hauptschule 27, B.-v.-Suttner-Schule (Dornacher Straße 35) "
14,14,Sporthauptschule (Meindlstraße 25),Sporthauptschule (Meindlstraße 25)
15,15,Praxishauptschule der Pädagogischen Hochschule Oberösterreich (Lederergasse 35),Praxishauptschule der Pädagogischen Hochschule Oberösterreich (Lederergasse 35)
16,16,Hauptschule der Franziskanerinnen (Brucknerstraße 8),Hauptschule der Franziskanerinnen (Brucknerstraße 8)
17,17,Hauptschule des Schulvereins der Kreuzschwestern (Stockhofstraße 10),Hauptschule des Schulvereins der Kreuzschwestern (Stockhofstraße 10)
18,18,Praxishauptschule der Pädagogischen Hochschule der Diözese (Salesianumweg 5),Praxishauptschule der Pädagogischen Hochschule der Diözese (Salesianumweg 5)
